experiment,fold,train_n,test_n,best_params,tree_depth,tree_leaves,training_seconds,prediction_seconds
E1_80_20,1,79,20,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,29.06916959999944,0.04094919999988633
E2_70_30,1,69,30,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 2}",2,4,2.21897589999935,0.046336499999597436
E3_5_Fold_CV,1,79,20,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.7282993999979226,0.045717400000285124
E3_5_Fold_CV,2,79,20,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,3.135769000000437,0.05725380000149016
E3_5_Fold_CV,3,79,20,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 1}",2,4,3.7637555000001157,0.040171700002247235
E3_5_Fold_CV,4,79,20,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 1}",2,3,2.325237900000502,0.04900200000338373
E3_5_Fold_CV,5,80,19,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 1}",2,4,2.485034099998302,0.042083100001036655
E4_LOOCV,1,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.0719099000016286,0.047834000000875676
E4_LOOCV,2,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.1041199999999662,0.06121999999959371
E4_LOOCV,3,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.6797203999994963,0.0992115000008198
E4_LOOCV,4,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.254483999997319,0.04008880000037607
E4_LOOCV,5,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.3994471999976668,0.04901370000152383
E4_LOOCV,6,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.758440800000244,0.07770290000189561
E4_LOOCV,7,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8154192000001785,0.04743369999778224
E4_LOOCV,8,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6092759000021033,0.03803989999869373
E4_LOOCV,9,98,1,"{""tree__max_depth"": 3, ""tree__min_samples_leaf"": 1}",3,5,1.7627549999997427,0.0374682000001485
E4_LOOCV,10,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7465582999975595,0.044272900002397364
