invoice_no,source_excel_row,customer_name_masking,receive_date,cutoff_rule,cutoff_type,cutoff_value,cutoff_date_decision_time,days_to_cutoff_source,days_to_cutoff_decision_time,receive_schedule,receive_day_code,next_receive_day_gap_decision_time,receive_date_schedule_status,current_label,current_reason,candidate_reason,guideline_based_label,guideline_based_note,Suggested Label,Applied Rule(s),Operational Reason,Confidence,Potential Rule Conflict,Conflict Detail
S202605-0764,102,CUST283,2026-05-29,NEXT_MONTH_DATE,3 days in next month (Bukan hari kerja),3.0,2026-06-03,4,3.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,HIGH,CUTOFF_NEAR,days_to_cutoff_decision_time between 3 and 10,HIGH,"R6: periode akhir bulan dan cutoff berada dalam batas <= 4 hari. priority resolution applied because multiple rule conditions were detected: R6, R8",HIGH,R6,"R6: periode akhir bulan dan cutoff berada dalam batas <= 4 hari. priority resolution applied because multiple rule conditions were detected: R6, R8",Medium,Yes,R6; R8
S202605-0772,86,CUST179,2026-05-25,MONTHLY_DATE,Max on 28th in every month,28.0,2026-05-28,4,3.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,HIGH,CUTOFF_NEAR,days_to_cutoff_decision_time between 3 and 10,HIGH,"R6: periode akhir bulan dan cutoff berada dalam batas <= 4 hari. priority resolution applied because multiple rule conditions were detected: R6, R8",HIGH,R6,"R6: periode akhir bulan dan cutoff berada dalam batas <= 4 hari. priority resolution applied because multiple rule conditions were detected: R6, R8",Medium,Yes,R6; R8
S202605-0769,63,CUST179,2026-05-22,MONTHLY_DATE,Max on 28th in every month,28.0,2026-05-28,5,4.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-1765,5,CUST382,2026-05-19,MONTHLY_DATE,Max on 25th in every month,25.0,2026-05-25,5,4.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0609,59,CUST018,2026-05-21,MONTHLY_DATE,Max on 28th in every month,28.0,2026-05-28,6,5.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0712,70,CUST079,2026-05-22,END_MONTH,End of month,0.0,2026-05-29,6,5.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0721,74,CUST366,2026-05-22,END_MONTH,End of month,0.0,2026-05-29,6,5.0,Monday - Wednesday,"1,2,3",3.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,LONG_TIME_TO_CUTOFF,"days_to_cutoff_decision_time between 3 and 10; limited receive schedule, but not immediately due today/tomorrow; approaching cutoff but not immediately urgent and not month-end",MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,MEDIUM,R8; R9,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,Medium,No,
S202605-0830,85,CUST502,2026-05-25,NEXT_MONTH_DATE,Date 1 in the next month,1.0,2026-06-01,6,5.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-1800,107,CUST276,2026-05-29,NEXT_MONTH_DATE,Max on 5th of the nextmonth,5.0,2026-06-05,6,5.0,"Monday, Tuesday, Wednesday","1,2,3",3.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,LONG_TIME_TO_CUTOFF,"days_to_cutoff_decision_time between 3 and 10; limited receive schedule, but not immediately due today/tomorrow",MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,MEDIUM,R8; R9,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,Medium,No,
93106212,93,CUST128,2026-05-26,NEXT_MONTH_DATE,3 working days in next month,3.0,2026-06-03,7,6.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
