Invoice Number,Current Label,Suggested Label,Applied Rule(s),Operational Reason,Confidence,All Matching Rule Conditions,Potential Rule Conflict,Conflict Detail
S202605-0419,NORMAL,HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,R7; R8,Yes,R7; R8
S202605-0557,NORMAL,HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,R7; R8,Yes,R7; R8
S202605-0587,HIGH,HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,R7; R8,Yes,R7; R8
S202605-0719,NORMAL,HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,R7; R8,Yes,R7; R8
S202605-0745,HIGH,HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,R7; R8,Yes,R7; R8
S202605-0764,HIGH,HIGH,R6,"R6: periode akhir bulan dan cutoff berada dalam batas <= 4 hari. priority resolution applied because multiple rule conditions were detected: R6, R8",Medium,R6; R8,Yes,R6; R8
S202605-0772,HIGH,HIGH,R6,"R6: periode akhir bulan dan cutoff berada dalam batas <= 4 hari. priority resolution applied because multiple rule conditions were detected: R6, R8",Medium,R6; R8,Yes,R6; R8
S202605-1766,HIGH,HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,R7; R8,Yes,R7; R8
S202605-0632,NORMAL,MEDIUM,R9,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",Medium,R9; R10,Yes,R9; R10
S202605-0708,NORMAL,MEDIUM,R9,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",Medium,R9; R10,Yes,R9; R10
S202605-0737,HIGH,MEDIUM,R9,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",Medium,R9; R10,Yes,R9; R10
