model,scope,invoice_no,customer_name_masking,cutoff_rule,receive_schedule,days_to_cutoff,next_receive_day_gap,missed_receive_schedule,month_end_flag,expert_label,prediction,expert_reason,triggered_rule,operational_explanation
RuleBased,train,S202605-0795,CUST172,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,test,S202605-1765,CUST382,MONTHLY_DATE,Everyday,5,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-1767,CUST498,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-1758,CUST082,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-1314,CUST024,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2103,CUST235,END_MONTH,Everyday,9,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,93115446,CUST380,NEXT_MONTH_WORKDAY,Everyday,10,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,93115889,CUST179,MONTHLY_DATE,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2575,CUST498,END_MONTH,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
RuleBased,train,S202605-2484,CUST374,END_MONTH,Everyday,8,0.0,No (On Schedule),No,NORMAL,MEDIUM,LONG_TIME_TO_CUTOFF,R8,"Rule-Based memicu R8, sehingga dokumen dianggap perlu dipantau. Pakar memberi NORMAL, kemungkinan karena konteks operasional masih dianggap longgar walaupun kondisi cutoff/jadwal masuk rentang pemantauan."
